title,media,date,datetime,desc,link,img
"Adani Group maintaining debt repayment obligations, no concerns over cash-flows of group entities, says SBI ch",Times Now,1 week ago,2023-04-09 14:25:37.521068,"Adani Group maintaining debt repayment obligations, no concerns over cash-flows of group entities, says SBI chairman Dinesh Kumar Khara.",https://www.timesnownews.com/business-economy/companies/adani-group-maintaining-debt-repayment-obligations-no-concerns-over-cash-flows-of-group-entities-says-sbi-chairman-dinesh-kumar-khara-article-99332188,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Adani Electricity Mumbai to Supply Mostly Green Power to the ...,Bloomberg.com,3 days ago,2023-04-13 14:26:01.550120,"Adani Electricity Mumbai Ltd., a closely held utility of Adani Transmission Ltd., said it's on course to procure as much as 60% of its power supply from...",https://www.bloomberg.com/news/articles/2023-04-12/adani-s-utility-to-supply-mostly-green-power-to-mumbai-by-2027,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Financial Times refuses to take down report on Adani Group’s offshore funding,Business Today,3 days ago,2023-04-13 14:26:01.502399,"The report, “Indian data reveals Adani empire's reliance on offshore funding”, appeared on March 22, 2023, and is available online on the FT website. An FT...",https://www.businesstoday.in/latest/corporate/story/financial-times-refuses-to-take-down-report-on-adani-groups-offshore-funding-377228-2023-04-13,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Who'll Finance Indian Infrastructure After the Adani Scandal?,Bloomberg.com,3 days ago,2023-04-13 14:26:01.491974,"Adani is a gigantic asset owner, in control of a number of ports, airports, coal mines, power stations, transmission lines, city-gas networks, solar farms,...",https://www.bloomberg.com/opinion/articles/2023-04-12/adani-scandal-who-ll-finance-indian-infrastructure-now,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Adani Electricity Mumbai to Supply Mostly Green Power to the ...,Bloomberg.com,3 days ago,2023-04-13 14:25:39.477044,"Adani Electricity Mumbai Ltd., a closely held utility of Adani Transmission Ltd., said it's on course to procure as much as 60% of its power supply from...",https://www.bloomberg.com/news/articles/2023-04-12/adani-s-utility-to-supply-mostly-green-power-to-mumbai-by-2027,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Financial Times refuses to take down report on Adani Group’s offshore funding,Business Today,3 days ago,2023-04-13 14:25:39.429454,"The report, “Indian data reveals Adani empire's reliance on offshore funding”, appeared on March 22, 2023, and is available online on the FT website. An FT...",https://www.businesstoday.in/latest/corporate/story/financial-times-refuses-to-take-down-report-on-adani-groups-offshore-funding-377228-2023-04-13,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Who'll Finance Indian Infrastructure After the Adani Scandal?,Bloomberg.com,3 days ago,2023-04-13 14:25:39.419596,"Adani is a gigantic asset owner, in control of a number of ports, airports, coal mines, power stations, transmission lines, city-gas networks, solar farms,...",https://www.bloomberg.com/opinion/articles/2023-04-12/adani-scandal-who-ll-finance-indian-infrastructure-now,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Adani Rout Has Retail India Investors Snapping Up Group's ...,Bloomberg.com,4 days ago,2023-04-12 14:26:01.542770,Retail investors in India were buyers in most Adani Group companies as the unprecedented selloff sparked by short-seller Hindenburg Research's allegations...,https://www.bloomberg.com/news/articles/2023-04-11/adani-rout-has-retail-india-investors-snapping-up-group-s-stocks,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Adani Rout Has Retail India Investors Snapping Up Group's ...,Bloomberg.com,4 days ago,2023-04-12 14:25:39.469859,Retail investors in India were buyers in most Adani Group companies as the unprecedented selloff sparked by short-seller Hindenburg Research's allegations...,https://www.bloomberg.com/news/articles/2023-04-11/adani-rout-has-retail-india-investors-snapping-up-group-s-stocks,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
"Post Azad's remark, can Rahul Gandhi's Adani talk come to bite him back?",The Economic Times,5 days ago,2023-04-11 14:26:01.564373,"The Adani controversy has caused a rift between members of the opposition party, with former Congress veteran Ghulam Navi Azad criticising Rahul Gandhi for his...",https://economictimes.indiatimes.com/news/politics-and-nation/post-azads-remark-can-rahul-gandhis-adani-talk-come-to-bite-him-back/articleshow/99374789.cms,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
"Adani row, Rahul's Savarkar remark, AAP's PM degree jibe: Sharad Pawar defies Opposition on 3 issues in 8 days",India Today,5 days ago,2023-04-11 14:26:01.557170,"Adani row, Rahul's Savarkar remark, AAP's PM degree jibe: Sharad Pawar defies Opposition on 3 issues in 8 days. Defying the views of the Opposition and...",https://www.indiatoday.in/india/story/sharad-pawar-adani-group-controversy-jpc-demand-savarkar-rahul-gandhi-defied-opposition-modi-degree-issue-aap-2358109-2023-04-10,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
"49 players including Reliance, Adani & Jindal Power show interest to acquire assets of Future Retail",The Indian Express,5 days ago,2023-04-11 14:26:01.535440,"As many as 49 players including Reliance Retail, Jindal Power Ltd and Adani group have submitted Expression of Interest (EoI) for acquiring the assets of...",https://indianexpress.com/article/business/companies/49-players-reliance-adani-jindal-power-show-interest-future-retail-8548537/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
"Reliance, Adani among bidders for Future ‘scrap’",Times of India,5 days ago,2023-04-11 14:26:01.527969,"MUMBAI: Mukesh Ambani's Reliance Group, Adani Group, Jindal Power and a host of scrap dealers are among the bidders for what remains of Kishore Biyani's...",https://timesofindia.indiatimes.com/business/india-business/reliance-adani-among-bidders-for-future-scrap/articleshow/99389200.cms,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
"India's Reliance, Adani among 49 bidders for debt-ridden ...",Reuters,5 days ago,2023-04-11 14:26:01.520061,"BENGALURU, April 10 (Reuters) - Companies led by Indian billionaires Gautam Adani and Mukesh Ambani, a British retailer and global asset reconstruction...",https://www.reuters.com/markets/deals/indias-reliance-adani-among-49-bidders-debt-ridden-future-retail-2023-04-10/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
"Adani Group Asks Financial Times To Take Down Inaccurate, Mendacious Report",BQ Prime,5 days ago,2023-04-11 14:26:01.511531,"Adani Group Asks Financial Times To Take Down 'Inaccurate', 'Mendacious' Report. The story has created a reputational impact for the group companies and has...",https://www.bqprime.com/business/adani-asks-financial-times-to-take-down-inaccurate-mendacious-report,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
"Post Azad's remark, can Rahul Gandhi's Adani talk come to bite him back?",The Economic Times,5 days ago,2023-04-11 14:25:39.491800,"The Adani controversy has caused a rift between members of the opposition party, with former Congress veteran Ghulam Navi Azad criticising Rahul Gandhi for his...",https://economictimes.indiatimes.com/news/politics-and-nation/post-azads-remark-can-rahul-gandhis-adani-talk-come-to-bite-him-back/articleshow/99374789.cms,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
"Adani row, Rahul's Savarkar remark, AAP's PM degree jibe: Sharad Pawar defies Opposition on 3 issues in 8 days",India Today,5 days ago,2023-04-11 14:25:39.484384,"Adani row, Rahul's Savarkar remark, AAP's PM degree jibe: Sharad Pawar defies Opposition on 3 issues in 8 days. Defying the views of the Opposition and...",https://www.indiatoday.in/india/story/sharad-pawar-adani-group-controversy-jpc-demand-savarkar-rahul-gandhi-defied-opposition-modi-degree-issue-aap-2358109-2023-04-10,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
"49 players including Reliance, Adani & Jindal Power show interest to acquire assets of Future Retail",The Indian Express,5 days ago,2023-04-11 14:25:39.462177,"As many as 49 players including Reliance Retail, Jindal Power Ltd and Adani group have submitted Expression of Interest (EoI) for acquiring the assets of...",https://indianexpress.com/article/business/companies/49-players-reliance-adani-jindal-power-show-interest-future-retail-8548537/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
"Reliance, Adani among bidders for Future ‘scrap’",Times of India,5 days ago,2023-04-11 14:25:39.454951,"MUMBAI: Mukesh Ambani's Reliance Group, Adani Group, Jindal Power and a host of scrap dealers are among the bidders for what remains of Kishore Biyani's...",https://timesofindia.indiatimes.com/business/india-business/reliance-adani-among-bidders-for-future-scrap/articleshow/99389200.cms,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
"India's Reliance, Adani among 49 bidders for debt-ridden ...",Reuters,5 days ago,2023-04-11 14:25:39.446860,"BENGALURU, April 10 (Reuters) - Companies led by Indian billionaires Gautam Adani and Mukesh Ambani, a British retailer and global asset reconstruction...",https://www.reuters.com/markets/deals/indias-reliance-adani-among-49-bidders-debt-ridden-future-retail-2023-04-10/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
