title,media,date,datetime,desc,link,img
Crackdown on Amritpal Singh: Internet services suspended in Punjab,Times of India,1 month ago,2023-04-12 12:39:58.438828,"Crackdown on Amritpal Singh: Internet services suspended in Punjab ; Why no FIR against Brij Bhushan Sharan Singh, Supreme Court asks Delhi police ; Yogi...",https://m.timesofindia.com/city/chandigarh/crackdown-on-amritpal-singh-internet-services-suspended-in-punjab/articleshow/98755218.cms,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Moose Wala’s parents gifted car he designed,Times of India,"ar 17, 2023",,"LUDHIANA: Shubhdeep Singh, better known as Sidhu Moose Wala, was popular for his music in India and may parts of the world, but hardly anyone knew that he...",https://m.timesofindia.com/city/ludhiana/moose-walas-parents-gifted-car-he-designed/articleshow/98720951.cms,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
"As CM Sukhu goes about cancelling Jai Ram regime institutions, Congress-BJP row hits a flashpoint",The Indian Express,"ar 15, 2023",,"brij bhushan sharan singh bjp · UP urban body polls: On BJP's campaign trail, a missing Brij Bhushan · MK Stalin Cabinet shuffle.",https://indianexpress.com/article/political-pulse/sukhvinder-singh-sukhu-jairam-thakur-congress-bjp-8499053/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Akalis smell vendetta as bail rejected for Sukhbir Badal in 2015 Kotkapura firing case,The Indian Express,"ar 17, 2023",,All of them have been issued notices to appear before the court of Judicial Magistrate (First Class) Ajaypal Singh on March 23. Advertisement. The chief...,https://indianexpress.com/article/political-pulse/akalis-bail-sukhbir-badal-2015-kotkapura-firing-case-8503423/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Hurting religious sentiments: Notice to Punjab on Dera chief’s plea against FIR,Times of India,"ar 16, 2023",,CHANDIGARH: The Punjab and Haryana high court has issued notice to the Punjab government on a plea filed by Dera Sacha Sauda chief Gurmeet Ram Rahim Singh...,https://m.timesofindia.com/city/chandigarh/hurting-religious-sentiments-notice-to-pb-on-dera-chiefs-plea-against-fir/articleshow/98681600.cms,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
"Punjabi University students ban entry of AAP leaders, seek grant promise",Times of India,1 month ago,2023-04-12 12:39:58.477619,"... Punjabi University, Prof Arvind had earlier claimed to have held a meeting with Punjab finance minister Harpal Singh Cheema, principal secretary to CM,...",https://m.timesofindia.com/city/chandigarh/students-ban-entry-of-aap-leaders-seek-grant-promise/articleshow/98746639.cms,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Ajit Pawar hits out at BJP MLC's 'Nirma powder' remarks in Maharashtra legislative council,Times of India,1 month ago,2023-04-12 12:39:58.497836,Patil had spoken in the context of Shiv Sena (UBT) leader Subhash Desai's son Bhushan joining the Eknath Shinde-led Shiv Sena. It had earlier been alleged that...,https://m.timesofindia.com/city/mumbai/ajit-pawar-hits-out-at-bjp-mlcs-nirma-powder-remarks-in-maharashtra-legislative-council/articleshow/98745403.cms,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Two delivery executives thrashed over not having loose change in Delhi's Rajouri Garden,Times of India,1 month ago,2023-04-12 12:39:58.517398,"According to the police, the two delivery agents -- Aman and Gurpal Singh -- of online grocery store Blinkit were physically assaulted by a customer when...",https://m.timesofindia.com/city/delhi/two-delivery-executives-thrashed-over-not-having-loose-change-in-delhis-rajouri-garden/articleshow/98759001.cms,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
"Haryana budget: Sandeep Singh enters, opposition exits",Times of India,1 month ago,2023-04-12 12:39:58.537013,"CHANDIGARH: Heated arguments between opposition and incumbent party MLAs, which led to a walkout by the opposition, marked Friday's proceedings of Haryana's...",https://m.timesofindia.com/city/chandigarh/sandeep-enters-opposition-exits/articleshow/98746626.cms,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
"Himachal Pradesh to be made green energy state by March, 2026: CM",Times of India,1 month ago,2023-04-12 12:39:58.556098,"SHIMLA: Having given the slogan of “Vyavastha Parivartan” (system change), chief minister Sukhvinder Singh Sukhu in his maiden budget speech majorly focused...",https://m.timesofindia.com/city/shimla/himachal-pradesh-to-be-made-green-energy-state-by-march-2026-cm/articleshow/98756587.cms,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
