title,media,date,datetime,desc,link,img
"Country will by run by Supreme Court and Constitution, not from Jantar Mantar: Brij Bhushan Sharan Singh",Times of India,2 weeks ago,47:50.4,"Even as the protest against BJP MP and the former WFI chief Brij Bhushan Sharan Singh is continuing, he has taken a consistent stand that he hasn't done...",https://m.timesofindia.com/videos/news/country-will-by-run-by-supreme-court-and-constitution-not-from-jantar-mantar-brij-bhushan-sharan-singh/videoshow/99874709.cms,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Wrestlers protest: Delhi Police tells SC FIR will be registered today against WFI chief Brij Bhushan,The Economic Times,2 weeks ago,47:50.3,... Friday over sexual harassment allegations levelled by seven women wrestlers against Wrestling Federation of India (WFI) chief Brij Bhushan Sharan Singh.,https://economictimes.indiatimes.com/news/india/wrestlers-protest-delhi-police-tells-sc-fir-will-be-registered-today-against-wfi-chief-brij-bhushan/videoshow/99842508.cms,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
"Amid Wrestlers` Protest, WFI Chief Brij Bhushan Sharan Singh Posts `Wish To Embrace Death` Video`",Zee News,2 weeks ago,47:50.3,"Amid Wrestlers' Protest, WFI Chief Brij Bhushan Sharan Singh Posts 'Wish To Embrace Death' Video'. Star Indian wrestlers such as Vinesh Phogat, Sakshi Malik...",https://zeenews.india.com/video/news/amid-wrestlers-protest-wfi-chief-brij-bhushan-sharan-singh-posts-wish-to-embrace-death-video-2600399.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Will register FIR today over complaints of wrestlers against Brij ...,Rising Kashmir,2 weeks ago,47:50.3,... (FIR) today over the complaints by women wrestlers about alleged sexual harassment by Wrestling Federation of India President Brij Bhushan Sharan Singh.,http://risingkashmir.com/will-register-fir-today-over-complaints-of-wrestlers-against-brij-bhushan-sharan-singh-delhi-police-to-sc,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
"WFI Chief Brij Bhushan Sharan Singh, the 'dabang' MP in eye of WFI storm - India Today",India Today,2 weeks ago,47:50.3,"While pressure is growing to take action against WFI president Brij Bhushan Sharan Singh, he maintained that he is ""innocent"" and ""ready to face any...",https://www.indiatoday.in/newsmo/video/wfi-chief-brij-bhushan-sharan-singh-the-dabang-mp-in-the-eye-of-the-wfi-storm-2366363-2023-04-29,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
"On pretext of checking breath, Brij Bhushan touched breast, stomach: 2 wrestlers to police",The Indian Express,6 days ago,47:56.3,"... two of the seven women wrestlers — both adults — against the federation's president and BJP MP Brij Bhushan Sharan Singh, The Indian Express has learnt.",https://indianexpress.com/article/sports/sport-others/on-pretext-of-checking-breath-brij-bhushan-touched-breast-stomach-2-wrestlers-to-police-8594157/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
"On pretext of checking breath, Brij Bhushan touched breast, stomach: 2 wrestlers to police",The Indian Express,6 days ago,47:50.9,"... two of the seven women wrestlers — both adults — against the federation's president and BJP MP Brij Bhushan Sharan Singh, The Indian Express has learnt.",https://indianexpress.com/article/sports/sport-others/on-pretext-of-checking-breath-brij-bhushan-touched-breast-stomach-2-wrestlers-to-police-8594157/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Wrestler Sakshee Malikkh Misidentified As Vinesh Phogat Praising Brij Bhushan | BOOM,BOOM,1 week ago,47:56.4,... misidentifying her as wrestler Vinesh Phogat crediting Wrestling Federation of India (WFI) president Brij Bhushan Saran Singh for winning a gold medal.,https://www.boomlive.in/fact-check/viral-video-interview-vinesh-phogat-wfi-president-brij-bhushan-singh-sakshi-malik-social-media-21863,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
'Close the camera and leave...': WFI Chief Brij Bhushan Singh evades India TV's questions | WATCH,India TV News,1 week ago,47:56.4,"Wrestlers' protest: Wrestling Federation of India (WFI) chief Brij Bhushan Sharan Singh, who has been accused of sexual harassment by several women...",https://www.indiatvnews.com/news/india/wfi-chief-brij-bhushan-singh-evades-india-tv-questions-viral-video-updates-close-camera-leave-passing-judgement-wrestlers-protest-latest-news-2023-05-02-868465,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
‘Lord Hanuman is my saviour’: Brij Bhushan Saran Singh on Supreme Court decision,Hindustan Times,1 week ago,47:56.3,LUCKNOW: Wrestling Federation of India (WFI) president Brij Bhushan Sharan Singh travelled to Ayodhya on Thursday evening to pay obeisance at the Hanuman Garhi...,https://www.hindustantimes.com/india-news/wrestling-federation-of-india-president-thanks-lord-hanuman-for-supreme-court-decision-to-close-petition-against-him-101683283044377.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
"""Will Resign If..."": Wrestling Body Chief Facing #MeToo Protest Tells NDTV",NDTV.com,1 week ago,47:56.3,"Drawing fire over sexual harassment allegations by top wrestlers, BJP MP and chief of the country's wrestling federation Brij Bhushan Sharan Singh has...",https://www.ndtv.com/india-news/brij-bhushan-sharan-singh-vinesh-phogat-bajrang-punia-wrestlers-protest-will-resign-if-wrestling-body-chief-facing-metoo-protest-tells-ndtv-4000401,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Union government’s indifference towards protesting wrestlers is baffling,Deccan Herald,1 week ago,47:56.3,"Imagine if Wrestling Federation of India (WFI) head Brij Bhushan Sharan Singh — accused by seven women, including a minor, of sexual harassment — was not a...",https://www.deccanherald.com/opinion/union-government-s-indifference-towards-protesting-wrestlers-is-baffling-1214923.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
